Time,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2,A3,A4,B3,B4,C3,C4,D3,D4,E3,E4,F3,F4,G3,G4,H3,H4,A5,A6,B5,B6,C5,C6,D5,D6,E5,E6,F5,F6,G5,G6,H5,H6,A9,A10,B9,B10,C9,C10,D9,D10,E9,E10,F9,F10,G9,G10,H9,H10,A11,A12,B11,B12,C11,C12,D11,D12,E11,E12,F11,F12,G11,G12,H11,H12,A7,A8,B7,B8,C7,C8,D7,D8,E7,E8,F7,F8,G7,G8,H7,H8
0:05:02,0.0012,0.0012,0.0082,0.0072,0.0092,0.0122,0.0082,0.0082,0.0062,0.0072,0.0072,0.0062,0.0082,0.0082,0.0062,0.0072,0.0002,0.0012,0.0042,0.0052,0.0042,0.0052,0.0052,0.0052,0.0042,0.0072,0.0042,0.0042,0.0082,0.0032,0.0042,0.0042,-0.0008,-0.0028,0.0082,0.0042,0.0052,0.0052,0.0072,0.0042,0.0052,0.0052,0.0062,0.0042,0.0052,0.0042,0.0062,0.0032,0.0008,-0.0002,0.0078,0.0068,0.0068,0.0068,0.0068,0.0068,0.0058,0.0058,0.0058,0.0058,0.0068,0.0058,0.0058,0.0058,-0.0002,-0.0002,0.0068,0.0118,0.0078,0.0078,0.0078,0.0068,0.0068,0.0068,0.0168,0.0068,0.0068,0.0078,0.0078,0.0058,-0.0012,0.0008,0.0088,0.0098,0.0098,0.0098,0.0108,0.0098,0.0098,0.0088,0.0088,0.0088,0.0078,0.0088,0.0068,0.0088
0:35:02,0.0022,0.0032,0.0092,0.0082,0.0092,0.0132,0.0082,0.0092,0.0072,0.0072,0.0082,0.0072,0.0102,0.0092,0.0072,0.0082,0.0012,0.0012,0.0052,0.0062,0.0052,0.0052,0.0062,0.0062,0.0042,0.0082,0.0052,0.0052,0.0092,0.0042,0.0052,0.0052,-0.0008,-0.0018,0.0102,0.0052,0.0062,0.0052,0.0082,0.0052,0.0062,0.0062,0.0062,0.0042,0.0062,0.0052,0.0072,0.0032,0.0018,0.0008,0.0078,0.0078,0.0068,0.0078,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0078,0.0068,0.0068,0.0068,-0.0002,0.0008,0.0068,0.0118,0.0078,0.0078,0.0088,0.0068,0.0078,0.0068,0.0178,0.0078,0.0068,0.0088,0.0088,0.0068,-0.0002,0.0018,0.0088,0.0108,0.0108,0.0108,0.0118,0.0108,0.0108,0.0098,0.0098,0.0098,0.0088,0.0098,0.0078,0.0098
1:05:02,0.0032,0.0032,0.0112,0.0102,0.0122,0.0162,0.0102,0.0112,0.0092,0.0102,0.0102,0.0092,0.0122,0.0112,0.0082,0.0102,0.0012,0.0022,0.0052,0.0072,0.0062,0.0072,0.0062,0.0062,0.0052,0.0092,0.0052,0.0062,0.0092,0.0062,0.0052,0.0062,0.0002,-0.0018,0.0102,0.0062,0.0082,0.0072,0.0082,0.0052,0.0082,0.0082,0.0072,0.0052,0.0082,0.0062,0.0082,0.0042,0.0018,0.0018,0.0088,0.0088,0.0078,0.0078,0.0078,0.0078,0.0078,0.0078,0.0068,0.0068,0.0088,0.0068,0.0078,0.0068,0.0008,0.0018,0.0078,0.0118,0.0088,0.0088,0.0088,0.0078,0.0088,0.0078,0.0178,0.0078,0.0078,0.0088,0.0088,0.0078,-0.0002,0.0018,0.0108,0.0128,0.0128,0.0128,0.0138,0.0128,0.0138,0.0118,0.0118,0.0118,0.0108,0.0118,0.0098,0.0118
1:35:02,0.0032,0.0042,0.0152,0.0132,0.0152,0.0202,0.0142,0.0142,0.0122,0.0142,0.0132,0.0122,0.0172,0.0142,0.0122,0.0132,0.0022,0.0022,0.0052,0.0072,0.0062,0.0082,0.0072,0.0062,0.0052,0.0102,0.0062,0.0072,0.0102,0.0062,0.0052,0.0062,0.0002,-0.0018,0.0112,0.0072,0.0092,0.0082,0.0092,0.0062,0.0092,0.0092,0.0082,0.0052,0.0102,0.0072,0.0082,0.0042,0.0018,0.0018,0.0088,0.0088,0.0078,0.0088,0.0078,0.0078,0.0088,0.0078,0.0078,0.0068,0.0088,0.0068,0.0078,0.0078,0.0008,0.0018,0.0078,0.0128,0.0098,0.0088,0.0098,0.0078,0.0088,0.0078,0.0188,0.0088,0.0078,0.0098,0.0098,0.0078,0.0008,0.0028,0.0138,0.0158,0.0168,0.0168,0.0168,0.0158,0.0178,0.0158,0.0148,0.0158,0.0148,0.0158,0.0128,0.0158
2:05:02,0.0032,0.0042,0.0182,0.0172,0.0212,0.0262,0.0192,0.0202,0.0182,0.0202,0.0202,0.0192,0.0232,0.0202,0.0182,0.0192,0.0022,0.0022,0.0052,0.0072,0.0062,0.0082,0.0072,0.0062,0.0052,0.0102,0.0062,0.0072,0.0102,0.0062,0.0062,0.0062,0.0002,-0.0018,0.0122,0.0072,0.0092,0.0082,0.0092,0.0062,0.0092,0.0092,0.0082,0.0062,0.0112,0.0072,0.0092,0.0042,0.0018,0.0018,0.0088,0.0088,0.0078,0.0088,0.0078,0.0078,0.0088,0.0078,0.0078,0.0078,0.0088,0.0068,0.0078,0.0078,0.0008,0.0018,0.0088,0.0128,0.0098,0.0098,0.0098,0.0088,0.0098,0.0088,0.0198,0.0098,0.0088,0.0108,0.0098,0.0088,0.0008,0.0028,0.0148,0.0168,0.0208,0.0218,0.0228,0.0218,0.0228,0.0218,0.0208,0.0218,0.0198,0.0218,0.0188,0.0218
2:35:02,0.0032,0.0052,0.0142,0.0132,0.0222,0.0292,0.0282,0.0312,0.0282,0.0302,0.0302,0.0292,0.0342,0.0312,0.0282,0.0302,0.0022,0.0022,0.0052,0.0072,0.0062,0.0072,0.0072,0.0072,0.0052,0.0092,0.0062,0.0072,0.0102,0.0062,0.0062,0.0062,0.0002,-0.0018,0.0142,0.0092,0.0102,0.0092,0.0112,0.0082,0.0112,0.0102,0.0102,0.0082,0.0132,0.0082,0.0102,0.0062,0.0028,0.0018,0.0088,0.0088,0.0078,0.0088,0.0078,0.0078,0.0088,0.0078,0.0078,0.0078,0.0098,0.0078,0.0078,0.0078,0.0008,0.0018,0.0108,0.0148,0.0118,0.0118,0.0118,0.0098,0.0108,0.0098,0.0208,0.0108,0.0108,0.0118,0.0118,0.0098,-0.0002,0.0028,0.0118,0.0138,0.0198,0.0198,0.0288,0.0268,0.0328,0.0318,0.0318,0.0318,0.0298,0.0328,0.0288,0.0328
3:05:02,0.0032,0.0042,0.0102,0.0092,0.0152,0.0202,0.0292,0.0372,0.0392,0.0452,0.0462,0.0442,0.0492,0.0462,0.0432,0.0452,0.0022,0.0032,0.0052,0.0082,0.0062,0.0072,0.0072,0.0072,0.0062,0.0102,0.0062,0.0082,0.0112,0.0062,0.0062,0.0072,0.0002,-0.0018,0.0182,0.0132,0.0142,0.0132,0.0142,0.0112,0.0142,0.0142,0.0132,0.0112,0.0172,0.0122,0.0142,0.0092,0.0028,0.0018,0.0088,0.0088,0.0078,0.0088,0.0088,0.0088,0.0088,0.0078,0.0078,0.0078,0.0098,0.0078,0.0088,0.0078,0.0008,0.0018,0.0148,0.0188,0.0148,0.0148,0.0148,0.0128,0.0148,0.0128,0.0238,0.0138,0.0138,0.0158,0.0148,0.0128,0.0008,0.0028,0.0108,0.0128,0.0148,0.0148,0.0258,0.0238,0.0428,0.0438,0.0458,0.0468,0.0448,0.0478,0.0428,0.0478
3:35:02,0.0032,0.0052,0.0082,0.0072,0.0102,0.0152,0.0172,0.0192,0.0392,0.0592,0.0642,0.0622,0.0682,0.0642,0.0612,0.0642,0.0022,0.0032,0.0052,0.0082,0.0072,0.0082,0.0082,0.0072,0.0062,0.0102,0.0062,0.0082,0.0112,0.0062,0.0062,0.0072,0.0012,-0.0018,0.0262,0.0212,0.0212,0.0202,0.0202,0.0182,0.0192,0.0202,0.0192,0.0172,0.0232,0.0172,0.0192,0.0142,0.0028,0.0018,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0098,0.0088,0.0088,0.0078,0.0098,0.0078,0.0088,0.0078,0.0008,0.0018,0.0228,0.0258,0.0218,0.0208,0.0198,0.0178,0.0198,0.0178,0.0298,0.0188,0.0198,0.0208,0.0208,0.0188,0.0008,0.0028,0.0098,0.0118,0.0118,0.0118,0.0178,0.0158,0.0348,0.0368,0.0628,0.0608,0.0628,0.0628,0.0608,0.0658
4:05:02,0.0032,0.0052,0.0082,0.0062,0.0092,0.0142,0.0092,0.0102,0.0212,0.0492,0.0962,0.0792,0.0982,0.0842,0.0822,0.0862,0.0022,0.0032,0.0052,0.0082,0.0072,0.0082,0.0082,0.0082,0.0072,0.0102,0.0072,0.0092,0.0122,0.0072,0.0072,0.0072,0.0012,-0.0018,0.0422,0.0352,0.0332,0.0322,0.0322,0.0292,0.0312,0.0312,0.0302,0.0282,0.0342,0.0282,0.0292,0.0232,0.0028,0.0018,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0098,0.0088,0.0088,0.0088,0.0108,0.0088,0.0088,0.0088,0.0008,0.0018,0.0378,0.0398,0.0328,0.0298,0.0298,0.0238,0.0298,0.0258,0.0398,0.0278,0.0308,0.0308,0.0298,0.0278,0.0008,0.0028,0.0088,0.0108,0.0108,0.0108,0.0128,0.0118,0.0188,0.0178,0.0678,0.0508,0.0878,0.0568,0.0898,0.0978
4:35:02,0.0032,0.0042,0.0082,0.0062,0.0092,0.0132,0.0082,0.0092,0.0102,0.0242,0.1072,0.0512,0.1272,0.1072,0.1192,0.1282,0.0022,0.0032,0.0052,0.0082,0.0072,0.0082,0.0082,0.0082,0.0072,0.0112,0.0082,0.0102,0.0132,0.0072,0.0082,0.0082,0.0012,-0.0008,0.0832,0.0762,0.0562,0.0602,0.0562,0.0522,0.0512,0.0572,0.0522,0.0532,0.0532,0.0512,0.0462,0.0432,0.0028,0.0018,0.0088,0.0088,0.0088,0.0088,0.0098,0.0098,0.0108,0.0098,0.0098,0.0098,0.0118,0.0098,0.0098,0.0098,0.0008,0.0018,0.0788,0.0738,0.0528,0.0488,0.0458,0.0358,0.0478,0.0398,0.0598,0.0468,0.0488,0.0468,0.0468,0.0458,0.0008,0.0028,0.0078,0.0098,0.0098,0.0098,0.0118,0.0108,0.0138,0.0118,0.0348,0.0218,0.0978,0.0428,0.1138,0.1358
